filename,width,height,class,xmin,ymin,xmax,ymax
00018_00001_00008_png_jpg.rf.8f6f1992eba13435b98ec79be0621443.jpg,416,416,Attention Please-,34,52,375,382
00013_00004_00012_png_jpg.rf.8f8d61292e1359c2c452bd2e751b7dec.jpg,416,416,Give Way,55,73,384,367
00038_00008_00000_png_jpg.rf.8fb0d6171a36f84eba03326ea44890f4.jpg,416,416,Keep-Right,64,47,400,355
00038_00013_00014_png_jpg.rf.8fb9b07bf5b36d9bd73f27474691f62b.jpg,416,416,Keep-Right,49,61,379,367
00021_00007_00009_png_jpg.rf.8fccd400c045159f407abe28308cac34.jpg,416,416,Left Zig Zag Traffic,48,52,365,395
00017_00021_00021_png_jpg.rf.8fed41f1d69e1f7d8f6899e3355bf2c0.jpg,416,416,No Entry,42,37,383,389
00017_00029_00006_png_jpg.rf.8fef9f9ee6d0798f6bd2c36392a2e139.jpg,416,416,No Entry,42,65,375,338
00037_00005_00019_png_jpg.rf.8f7f082fb443bbc35516cbb8eb20f197.jpg,416,416,Go straight or turn left,47,41,381,382
00021_00010_00029_png_jpg.rf.8f8264694ac13b82f4fecac754370166.jpg,416,416,Left Zig Zag Traffic,26,48,392,381
00040_00010_00010_png_jpg.rf.8f8c49e6b3b3204561c4c94449523a30.jpg,416,416,Round-About,43,77,385,387
00013_00007_00019_png_jpg.rf.8fc65493dd85e3cf6714d43185f28dc0.jpg,416,416,Give Way,31,26,393,391
00021_00003_00028_png_jpg.rf.8fe29aa2bf3256bf9077d10904af8950.jpg,416,416,Left Zig Zag Traffic,37,35,379,388
00021_00004_00005_png_jpg.rf.8ff71cffe334774cb40ba2f76a454b74.jpg,416,416,Left Zig Zag Traffic,61,76,367,341
00020_00008_00007_png_jpg.rf.90043f59cd1e5f4c6b16af3bbf3741b3.jpg,416,416,Dangerous Rright Curve Ahead,102,101,323,328
00021_00003_00013_png_jpg.rf.901091bdc08a28e4c8b6d9085d2db6fc.jpg,416,416,Left Zig Zag Traffic,48,71,360,365
00037_00001_00006_png_jpg.rf.8ff478de85bd006a24cb569e0d1a8657.jpg,416,416,Go straight or turn left,78,78,351,377
00020_00009_00002_png_jpg.rf.90181be3bb5ff9cec407595326117cb9.jpg,416,416,Dangerous Rright Curve Ahead,69,81,347,335
00013_00008_00007_png_jpg.rf.90247e1281f99feb0adc4ce54ff5cd28.jpg,416,416,Give Way,65,43,398,399
00017_00034_00011_png_jpg.rf.9044b5392c722b713c94e9fbcdd6bfc0.jpg,416,416,No Entry,67,59,349,356
00028_00011_00011_png_jpg.rf.905b892b08bcf05fb73015dbc9f19488.jpg,416,416,Beware of children,50,81,337,335
00017_00031_00020_png_jpg.rf.9038f6f418296a6c7f3d8ded04e12f78.jpg,416,416,No Entry,40,37,377,370
00038_00019_00006_png_jpg.rf.904865943150645699c66bcbc03f7ba1.jpg,416,416,Keep-Right,78,52,377,351
00024_00001_00011_png_jpg.rf.90516b3e530873add4a2141ec29450d5.jpg,416,416,-Road narrows on right,60,52,369,371
00021_00006_00006_png_jpg.rf.906178968c84525a8ff9032b8371891e.jpg,416,416,Left Zig Zag Traffic,81,69,382,370
